ID_Athletique,ID_Match,ID_Joueur,VO2_Max,Distance_Parcourue,Vitesse_Max,Vitesse_Moyenne,Hauteur_Saut,Puissance_Membres,Force_Maximale,Temps_Récupération
1,1,414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2,1,617,55.27,6.6899999999999995,26.45,8.15,71.17,490.86,93.27,10.0
3,1,829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
4,1,666,55.57,7.800000000000001,28.99,8.26,53.82,543.92,91.99,10.0
5,1,445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
6,1,101,51.76,7.71,27.64,9.8,61.75,495.16,69.26,10.0
7,1,802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
8,1,757,54.12,7.75,31.47,9.74,60.54,572.44,119.9,6.56
9,1,152,53.05,9.93,26.06,11.67,45.62,408.72,103.8,6.44
10,1,270,52.91,7.96,26.04,9.07,51.75,453.54,110.12,5.67
11,1,393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
12,1,124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13,1,341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
14,1,974,48.56,6.63,24.49,10.83,51.09,585.62,86.88,3.56
15,1,439,57.95,7.65,29.77,9.11,62.65,446.77,65.16,3.44
16,1,818,57.37,8.26,31.33,10.86,58.17,561.67,119.93,5.22
17,1,688,52.32,7.710000000000001,25.23,9.28,51.12,463.85,104.69,4.33
18,1,807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
19,1,895,56.56,8.23,25.06,11.94,54.11,622.81,119.37,2.0
20,1,678,54.63,8.94,27.86,12.9,64.79,402.42,117.83,8.33
21,1,32,51.65,7.71,31.46,10.47,56.12,650.01,111.32,4.78
22,1,881,55.85,8.62,24.3,11.79,62.54,590.84,67.63,10.0
23,1,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
24,1,285,57.33,8.94,29.96,9.47,59.6,643.53,85.41,10.0
25,2,414,51.83,5.279999999999999,20.21,6.890000000000001,69.25999999999999,594.02,87.4,4.78
26,2,617,56.65,5.949999999999999,23.46,9.97,69.97999999999999,615.5,89.95,10.0
27,2,829,49.24,6.220000000000001,22.06,7.710000000000001,59.84,498.99,91.49,10.0
28,2,666,54.07,7.289999999999999,24.33,8.84,48.44,431.37,117.97,10.0
29,2,445,57.37,8.54,28.24,11.54,58.28,465.62,81.13,3.44
30,2,101,55.37,7.89,29.53,12.75,50.29,661.25,73.9,5.22
31,2,802,48.27,9.89,31.58,12.54,53.71,614.91,62.16,10.0
32,2,757,48.44,9.14,27.03,9.13,56.86,534.48,118.97,6.56
33,2,152,49.66,8.52,30.24,10.6,63.3,623.07,83.29,6.44
34,2,270,51.55,7.2,25.84,10.77,58.12,630.52,106.5,5.67
35,2,393,48.63,7.11,25.38,9.19,61.45,495.81,115.66,6.56
36,2,124,57.84,8.57,27.42,11.41,46.55,430.19,100.44,5.78
37,2,341,55.56,8.42,27.49,10.47,58.06,562.61,86.16,10.0
38,2,974,57.87,6.62,24.71,11.67,61.1,530.2,93.82,10.0
39,2,439,54.46,7.44,31.8,10.46,47.97,575.53,77.55,5.0
40,2,818,48.82,7.25,29.68,9.19,48.04,417.26,69.1,5.0
41,2,688,48.58,7.08,23.38,10.07,58.68,688.46,68.69,4.33
42,2,807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
43,2,895,53.45,7.31,29.44,11.29,46.74,630.79,76.64,2.0
44,2,678,52.71,9.76,25.57,9.5,53.05,665.16,115.84,2.33
45,2,32,50.42,8.83,25.64,10.95,58.54,445.13,104.03,4.78
46,2,881,51.12,8.94,27.89,11.69,63.34,633.63,104.65,4.22
47,2,600,52.52,9.79,27.5,11.58,48.08,625.06,64.05,7.67
48,2,285,57.61,7.16,32.89,12.13,61.43,452.06,70.89,10.0
49,3,414,48.8,5.48,26.97,8.04,62.24,652.1,61.88,4.78
50,3,617,54.59,4.54,23.87,9.72,72.94,607.11,76.82,10.0
51,3,829,54.05,5.51,20.68,9.92,59.94,642.3,111.52,4.78
52,3,666,50.3,6.75,23.21,9.65,58.09,578.03,118.72,4.22
53,3,445,52.95,8.68,28.45,10.47,49.94,525.02,69.25,10.0
54,3,101,54.75,9.99,29.97,9.84,62.29,595.65,99.86,6.0
55,3,802,49.35,9.56,28.16,12.73,51.65,582.95,76.23,3.0
56,3,757,53.61,9.17,26.77,12.29,63.57,404.86,81.09,6.56
57,3,152,55.29,7.38,29.54,9.38,63.19,560.7,88.07,10.0
58,3,270,50.7,8.26,30.85,12.95,49.96,447.41,116.02,5.56
59,3,393,52.51,8.25,31.71,11.39,55.03,555.18,60.4,6.56
60,3,124,50.16,7.48,29.8,11.71,47.77,690.58,69.75,5.78
61,3,341,55.86,9.24,27.27,9.67,48.04,665.68,75.21,10.0
62,3,974,51.45,7.01,23.4,9.37,47.98,512.83,103.26,7.0
63,3,439,57.46,9.23,31.09,12.9,56.91,613.88,69.65,5.0
64,3,818,53.47,8.25,30.03,10.98,63.11,639.8,61.29,5.22
65,3,688,51.99,6.19,27.71,8.97,53.33,606.91,67.37,4.44
66,3,807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
67,3,895,53.9,7.51,31.33,9.4,49.3,413.71,110.51,10.0
68,3,678,51.4,7.66,28.62,12.74,45.29,529.87,62.81,10.0
69,3,32,53.51,7.4,31.4,9.75,57.92,627.68,63.58,4.78
70,3,881,57.18,6.36,23.53,10.23,64.29,535.46,114.89,5.78
71,3,600,54.71,7.6,29.36,11.94,64.61,403.57,89.94,4.0
72,3,285,53.89,9.43,30.99,11.09,61.69,548.9300000000001,90.69,10.0
73,4,414,53.19,4.63,24.95,8.1,59.36,516.52,68.94,10.0
74,4,617,48.82,4.4,25.55,8.15,69.22999999999999,438.48,119.49,3.0
75,4,829,48.02,5.84,25.64,8.23,72.11,510.62,73.23,2.44
76,4,666,53.41,6.97,26.73,10.86,52.46,524.38,60.97,4.22
77,4,445,57.15,7.41,26.34,11.72,64.75,525.46,98.18,7.0
78,4,101,56.21,9.91,31.44,9.74,51.79,660.13,75.91,6.0
79,4,802,49.37,9.73,31.64,12.45,55.57,660.46,68.31,10.0
80,4,757,50.73,7.65,27.13,11.55,56.93,522.49,81.19,10.0
81,4,152,50.21,8.35,29.99,12.27,45.99,404.94,65.86,4.67
82,4,270,51.73,8.9,29.82,12.71,50.75,430.03,111.08,7.67
83,4,393,51.75,8.29,26.83,10.27,50.87,629.4,91.81,5.33
84,4,124,48.64,7.869999999999999,28.29,9.22,51.85,667.21,93.37,2.33
85,4,341,48.69,8.54,31.69,11.61,59.0,630.32,105.32,10.0
86,4,974,50.39,8.03,29.13,11.88,63.34,642.75,99.0,7.0
87,4,439,54.35,9.77,28.25,12.98,49.21,493.55,110.76,5.0
88,4,818,55.02,7.41,27.66,10.77,64.87,651.78,61.4,5.22
89,4,688,50.85,6.15,25.81,8.38,46.71,430.9,73.31,10.0
90,4,807,48.54,6.31,29.81,11.08,46.35,599.28,76.39,7.56
91,4,895,55.54,7.21,31.07,10.05,52.35,602.35,113.52,4.44
92,4,678,56.33,7.7,30.97,9.67,56.12,695.56,89.14,10.0
93,4,32,51.28,9.12,25.05,12.22,46.59,528.68,81.58,4.78
