ID_Contexte,ID_Match,Saison,Météo,Etat_Terrain,Adversaire,Compétition
1,1,Été,Ensoleillé,Sec,Dixon FC,Ligue
2,2,Été,Ensoleillé,Sec,Ross FC,Ligue
3,3,Automne,Pluvieux,Sec,Simpson FC,Ligue
4,4,Automne,Ensoleillé,Boueux,Dixon FC,Ligue
5,5,Automne,Nuageux,Humide,Johnson FC,Ligue
6,6,Automne,Pluvieux,Humide,Huffman FC,Ligue
7,7,Automne,Ensoleillé,Humide,Ross FC,Ligue
8,8,Automne,Nuageux,Humide,Roberts FC,Ligue
9,9,Automne,Nuageux,Boueux,Roberts FC,Ligue
10,10,Automne,Pluvieux,Humide,Martinez FC,Ligue
11,11,Hiver,Pluvieux,Sec,Hall FC,Ligue
12,12,Hiver,Nuageux,Sec,Yu FC,Ligue
13,13,Hiver,Nuageux,Humide,Hall FC,Ligue
14,14,Hiver,Venteux,Humide,Dixon FC,Ligue
15,15,Hiver,Nuageux,Sec,Dixon FC,Ligue
16,16,Hiver,Pluvieux,Sec,Clark FC,Ligue
17,17,Hiver,Ensoleillé,Boueux,Hall FC,Ligue
18,18,Hiver,Nuageux,Humide,Bennett FC,Ligue
19,19,Printemps,Nuageux,Sec,White FC,Ligue
20,20,Printemps,Ensoleillé,Sec,Clark FC,Ligue
21,21,Printemps,Ensoleillé,Sec,Nelson FC,Ligue
22,22,Printemps,Nuageux,Sec,Huffman FC,Ligue
23,23,Printemps,Ensoleillé,Sec,Simpson FC,Ligue
24,24,Printemps,Ensoleillé,Sec,Simpson FC,Ligue
25,25,Printemps,Nuageux,Humide,Huffman FC,Ligue
26,26,Printemps,Ensoleillé,Sec,Yu FC,Ligue
27,27,Printemps,Pluvieux,Sec,Yu FC,Ligue
28,28,Printemps,Pluvieux,Sec,Nelson FC,Ligue
29,29,Été,Ensoleillé,Sec,Hoover FC,Ligue
30,30,Été,Ensoleillé,Sec,Hansen FC,Ligue
31,31,Hiver,Ensoleillé,Humide,Jackson FC,Coupe
32,32,Hiver,Pluvieux,Humide,Esparza FC,Coupe
33,33,Printemps,Nuageux,Sec,Holt FC,Coupe
34,34,Printemps,Ensoleillé,Sec,Fowler FC,Coupe
35,35,Été,Ensoleillé,Sec,Mcdonald FC,Amical
36,36,Été,Ensoleillé,Sec,Krause FC,Amical
37,37,Automne,Venteux,Humide,Kim FC,Amical
38,38,Automne,Pluvieux,Humide,Keller FC,Amical
39,39,Automne,Ensoleillé,Humide,Gilbert FC,Amical
40,40,Automne,Nuageux,Humide,Johnston FC,Amical
41,41,Printemps,Ensoleillé,Sec,Richardson FC,Amical
42,42,Été,Ensoleillé,Sec,Hawkins FC,Ligue
43,43,Automne,Venteux,Humide,Serrano FC,Ligue
44,44,Automne,Nuageux,Humide,Cook FC,Ligue
45,45,Automne,Nuageux,Boueux,Wallace FC,Ligue
46,46,Automne,Nuageux,Humide,Roberts FC,Ligue
47,47,Automne,Pluvieux,Boueux,Roberts FC,Ligue
48,48,Automne,Nuageux,Humide,Hawkins FC,Ligue
49,49,Automne,Nuageux,Boueux,Glover FC,Ligue
50,50,Automne,Nuageux,Humide,Hall FC,Ligue
51,51,Automne,Pluvieux,Boueux,Johnson FC,Ligue
52,52,Hiver,Pluvieux,Boueux,Cook FC,Ligue
53,53,Hiver,Pluvieux,Humide,Ramirez FC,Ligue
54,54,Hiver,Pluvieux,Sec,Butler FC,Ligue
55,55,Hiver,Pluvieux,Humide,Roberts FC,Ligue
56,56,Hiver,Pluvieux,Humide,Martin FC,Ligue
57,57,Hiver,Nuageux,Humide,Roberts FC,Ligue
58,58,Printemps,Ensoleillé,Humide,Nelson FC,Ligue
59,59,Printemps,Ensoleillé,Sec,Cook FC,Ligue
60,60,Printemps,Ensoleillé,Sec,Serrano FC,Ligue
61,61,Printemps,Nuageux,Humide,Martin FC,Ligue
62,62,Printemps,Pluvieux,Sec,Hawkins FC,Ligue
63,63,Printemps,Pluvieux,Sec,Glover FC,Ligue
64,64,Printemps,Ensoleillé,Sec,Glover FC,Ligue
65,65,Printemps,Pluvieux,Sec,Hawkins FC,Ligue
66,66,Printemps,Nuageux,Sec,Hawkins FC,Ligue
67,67,Été,Ensoleillé,Sec,Martin FC,Ligue
68,68,Été,Nuageux,Sec,Johnson FC,Ligue
69,69,Été,Ensoleillé,Sec,Hall FC,Ligue
70,70,Été,Nuageux,Sec,Martin FC,Ligue
71,71,Été,Nuageux,Sec,Wallace FC,Ligue
72,72,Automne,Pluvieux,Humide,Wheeler FC,Coupe
73,73,Automne,Pluvieux,Humide,Mccann FC,Coupe
74,74,Automne,Pluvieux,Humide,Charles FC,Coupe
75,75,Printemps,Pluvieux,Humide,Wood FC,Coupe
76,76,Été,Nuageux,Sec,Rodriguez FC,Coupe
77,77,Automne,Pluvieux,Boueux,Ford FC,Amical
78,78,Automne,Pluvieux,Humide,Griffin FC,Amical
79,79,Automne,Pluvieux,Boueux,Cunningham FC,Amical
80,80,Automne,Venteux,Boueux,Alvarado FC,Amical
81,81,Automne,Pluvieux,Sec,Martin FC,Amical
82,82,Hiver,Pluvieux,Boueux,Webb FC,Amical
83,83,Hiver,Nuageux,Sec,Elliott FC,Amical
84,84,Hiver,Nuageux,Humide,Coleman FC,Amical
85,85,Printemps,Pluvieux,Sec,Elliott FC,Amical
86,86,Été,Venteux,Sec,Bruce FC,Amical
87,87,Été,Ensoleillé,Sec,Meyer FC,Ligue
88,88,Été,Ensoleillé,Sec,Stewart FC,Ligue
89,89,Été,Nuageux,Sec,Sanders FC,Ligue
90,90,Été,Ensoleillé,Sec,Roy FC,Ligue
91,91,Été,Nuageux,Sec,Fitzgerald FC,Ligue
92,92,Été,Nuageux,Sec,Sanders FC,Ligue
93,93,Automne,Nuageux,Humide,Stewart FC,Ligue
94,94,Automne,Ensoleillé,Sec,Garcia FC,Ligue
95,95,Automne,Venteux,Boueux,Gordon FC,Ligue
96,96,Automne,Nuageux,Humide,Morton FC,Ligue
97,97,Automne,Pluvieux,Humide,Rodgers FC,Ligue
98,98,Automne,Nuageux,Humide,Jennings FC,Ligue
99,99,Automne,Pluvieux,Humide,Yates FC,Ligue
100,100,Hiver,Pluvieux,Humide,Roy FC,Ligue
101,101,Hiver,Nuageux,Humide,Jennings FC,Ligue
102,102,Hiver,Pluvieux,Humide,Rodgers FC,Ligue
103,103,Hiver,Ensoleillé,Sec,Mccall FC,Ligue
104,104,Hiver,Nuageux,Humide,Jennings FC,Ligue
105,105,Hiver,Venteux,Humide,Fitzgerald FC,Ligue
106,106,Hiver,Nuageux,Humide,Jennings FC,Ligue
107,107,Printemps,Ensoleillé,Sec,Caldwell FC,Ligue
108,108,Printemps,Nuageux,Sec,Jennings FC,Ligue
109,109,Printemps,Nuageux,Humide,Fitzgerald FC,Ligue
110,110,Printemps,Ensoleillé,Humide,Sanders FC,Ligue
111,111,Printemps,Nuageux,Sec,Morton FC,Ligue
112,112,Printemps,Ensoleillé,Sec,Caldwell FC,Ligue
