ID_Psychologique,ID_Match,ID_Joueur,Confiance,Résilience
1,1,414,1,1
2,1,617,7,7
3,1,829,1,1
4,1,666,8,6
5,1,445,1,1
6,1,101,5,7
7,1,802,1,2
8,1,757,6,7
9,1,152,7,6
10,1,270,5,5
11,1,393,1,1
12,1,124,1,2
13,1,341,1,1
14,1,974,2,6
15,1,439,5,7
16,1,818,5,5
17,1,688,4,5
18,1,807,1,2
19,1,895,3,4
20,1,678,6,5
21,1,32,2,6
22,1,881,2,4
23,1,600,1,2
24,1,285,6,7
25,2,414,6,8
26,2,617,9,9
27,2,829,9,7
28,2,666,9,7
29,2,445,3,4
30,2,101,8,6
31,2,802,7,9
32,2,757,8,6
33,2,152,7,6
34,2,270,7,9
35,2,393,7,9
36,2,124,3,4
37,2,341,9,8
38,2,974,6,6
39,2,439,7,7
40,2,818,5,4
41,2,688,4,5
42,2,807,1,2
43,2,895,4,4
44,2,678,3,6
45,2,32,4,4
46,2,881,3,4
47,2,600,8,9
48,2,285,8,7
49,3,414,5,6
50,3,617,10,9
51,3,829,5,9
52,3,666,5,9
53,3,445,8,8
54,3,101,7,7
55,3,802,6,5
56,3,757,8,7
57,3,152,10,9
58,3,270,8,8
59,3,393,8,8
60,3,124,8,10
61,3,341,9,9
62,3,974,8,9
63,3,439,10,9
64,3,818,8,8
65,3,688,4,7
66,3,807,2,4
67,3,895,8,9
68,3,678,9,9
69,3,32,4,5
70,3,881,8,9
71,3,600,4,6
72,3,285,8,9
73,4,414,10,8
74,4,617,6,8
75,4,829,5,9
76,4,666,4,5
77,4,445,7,8
78,4,101,7,5
79,4,802,7,9
80,4,757,8,8
81,4,152,5,8
82,4,270,8,7
83,4,393,9,8
84,4,124,5,6
85,4,341,8,8
86,4,974,7,7
87,4,439,9,9
88,4,818,10,9
89,4,688,6,4
90,4,807,7,7
91,4,895,6,7
92,4,678,10,8
93,4,32,6,7
94,4,881,9,8
95,4,600,8,10
96,4,285,10,9
97,5,414,7,8
98,5,617,4,6
99,5,829,6,6
100,5,666,7,8
101,5,445,5,5
102,5,101,4,4
103,5,802,7,6
104,5,757,2,6
105,5,152,4,5
106,5,270,6,7
107,5,393,8,5
108,5,124,7,5
109,5,341,6,7
110,5,974,4,4
111,5,439,7,7
112,5,818,7,5
113,5,688,7,6
114,5,807,5,5
115,5,895,4,4
116,5,678,5,5
117,5,32,2,4
118,5,881,6,6
119,5,600,5,7
120,5,285,7,6
121,6,414,4,8
122,6,617,4,8
123,6,829,9,8
124,6,666,9,9
125,6,445,6,6
126,6,101,5,4
127,6,802,7,6
128,6,757,6,7
129,6,152,8,9
130,6,270,8,9
131,6,393,7,7
132,6,124,8,9
133,6,341,5,8
134,6,974,6,7
135,6,439,8,7
136,6,818,5,5
137,6,688,8,7
138,6,807,6,8
139,6,895,6,6
140,6,678,8,6
141,6,32,5,7
142,6,881,8,8
143,6,600,6,8
144,6,285,10,7
145,7,414,8,7
146,7,617,4,4
147,7,829,5,6
148,7,666,7,7
149,7,445,7,6
150,7,101,4,6
151,7,802,4,6
152,7,757,7,6
153,7,152,7,7
154,7,270,8,6
155,7,393,7,6
156,7,124,7,6
157,7,341,3,6
158,7,974,6,6
159,7,439,7,6
160,7,818,4,4
161,7,688,7,6
162,7,807,7,8
163,7,895,3,3
164,7,678,5,7
165,7,32,6,6
166,7,881,4,3
167,7,600,6,7
168,7,285,7,7
169,8,414,9,9
170,8,617,8,10
171,8,829,6,7
172,8,666,5,6
173,8,445,8,7
174,8,101,4,8
175,8,802,6,7
176,8,757,10,8
177,8,152,5,8
178,8,270,9,7
179,8,393,9,8
180,8,124,9,7
181,8,341,6,8
182,8,974,8,8
183,8,439,8,9
184,8,818,9,7
185,8,688,9,9
186,8,807,5,5
187,8,895,8,8
188,8,678,8,9
189,8,32,7,8
190,8,881,7,8
191,8,600,6,5
192,8,285,10,9
193,9,414,8,9
194,9,617,9,9
195,9,829,6,9
196,9,666,8,9
197,9,445,9,7
198,9,101,5,6
199,9,802,9,9
200,9,757,9,7
201,9,152,4,6
202,9,270,7,7
203,9,393,8,9
204,9,124,4,6
205,9,341,5,6
206,9,974,9,8
207,9,439,10,8
208,9,818,10,10
209,9,688,4,5
210,9,807,6,7
211,9,895,9,7
212,9,678,9,10
213,9,32,6,6
214,9,881,6,5
215,9,600,9,8
216,9,285,8,9
217,10,414,10,8
218,10,617,6,9
219,10,829,7,8
220,10,666,9,8
221,10,445,7,8
222,10,101,10,9
223,10,802,8,9
224,10,757,8,9
225,10,152,2,4
226,10,270,4,6
227,10,393,9,7
228,10,124,8,7
229,10,341,10,9
230,10,974,9,9
231,10,439,7,9
232,10,818,4,6
233,10,688,5,5
234,10,807,8,9
235,10,895,6,6
236,10,678,7,9
237,10,32,5,8
238,10,881,6,6
239,10,600,8,8
240,10,285,10,8
241,11,414,8,8
242,11,617,6,6
243,11,829,6,7
244,11,666,5,6
245,11,445,5,5
246,11,101,5,5
