ID_Tactique,ID_Match,ID_Joueur,Zones_Influence,Transitions_Rapides,Pressions_Réussies
1,1,414,Aucune,0,0
2,1,617,Défensive,0,0
3,1,829,Aucune,0,0
4,1,666,Défensive,5,8
5,1,445,Aucune,0,0
6,1,101,Défensive,6,15
7,1,802,Aucune,0,0
8,1,757,Défensive,6,18
9,1,152,Défensive,7,9
10,1,270,Médiane,8,12
11,1,393,Aucune,0,0
12,1,124,Aucune,0,0
13,1,341,Aucune,0,0
14,1,974,Médiane,5,7
15,1,439,Offensive,8,14
16,1,818,Défensive,5,12
17,1,688,Défensive,2,7
18,1,807,Aucune,0,0
19,1,895,Offensive,5,15
20,1,678,Défensive,10,14
21,1,32,Défensive,9,17
22,1,881,Médiane,2,8
23,1,600,Aucune,0,0
24,1,285,Défensive,10,5
25,2,414,Défensive,0,0
26,2,617,Défensive,0,0
27,2,829,Défensive,0,0
28,2,666,Médiane,7,9
29,2,445,Toute Surface,7,14
30,2,101,Toute Surface,6,14
31,2,802,Défensive,12,10
32,2,757,Toute Surface,5,19
33,2,152,Toute Surface,8,15
34,2,270,Défensive,6,13
35,2,393,Médiane,8,12
36,2,124,Défensive,8,8
37,2,341,Défensive,12,3
38,2,974,Toute Surface,6,7
39,2,439,Offensive,12,14
40,2,818,Médiane,7,16
41,2,688,Toute Surface,5,5
42,2,807,Aucune,0,0
43,2,895,Médiane,11,14
44,2,678,Médiane,11,20
45,2,32,Toute Surface,8,10
46,2,881,Défensive,4,6
47,2,600,Médiane,9,11
48,2,285,Toute Surface,10,10
49,3,414,Défensive,0,0
50,3,617,Défensive,0,0
51,3,829,Défensive,0,0
52,3,666,Offensive,4,6
53,3,445,Toute Surface,11,12
54,3,101,Défensive,8,17
55,3,802,Défensive,6,22
56,3,757,Toute Surface,5,18
57,3,152,Toute Surface,9,11
58,3,270,Défensive,12,17
59,3,393,Offensive,11,19
60,3,124,Médiane,8,9
61,3,341,Toute Surface,8,11
62,3,974,Médiane,7,13
63,3,439,Médiane,12,14
64,3,818,Défensive,9,22
65,3,688,Médiane,5,14
66,3,807,Aucune,0,0
67,3,895,Défensive,6,13
68,3,678,Offensive,9,13
69,3,32,Défensive,5,16
70,3,881,Offensive,7,5
71,3,600,Médiane,8,15
72,3,285,Défensive,12,4
73,4,414,Défensive,0,0
74,4,617,Défensive,0,0
75,4,829,Défensive,0,0
76,4,666,Toute Surface,5,16
77,4,445,Défensive,11,13
78,4,101,Offensive,5,16
79,4,802,Offensive,8,12
80,4,757,Offensive,13,11
81,4,152,Offensive,8,17
82,4,270,Offensive,6,17
83,4,393,Défensive,13,20
84,4,124,Toute Surface,4,5
85,4,341,Toute Surface,9,8
86,4,974,Défensive,5,12
87,4,439,Offensive,9,16
88,4,818,Offensive,12,11
89,4,688,Médiane,8,12
90,4,807,Offensive,6,16
91,4,895,Toute Surface,13,12
92,4,678,Médiane,11,15
93,4,32,Défensive,13,11
94,4,881,Défensive,7,16
95,4,600,Médiane,12,18
96,4,285,Médiane,11,9
97,5,414,Défensive,0,0
98,5,617,Défensive,0,0
99,5,829,Défensive,0,0
100,5,666,Offensive,6,9
101,5,445,Toute Surface,8,15
102,5,101,Défensive,8,9
103,5,802,Toute Surface,6,9
104,5,757,Offensive,4,16
105,5,152,Défensive,10,13
106,5,270,Offensive,9,14
107,5,393,Toute Surface,9,16
108,5,124,Défensive,4,13
109,5,341,Offensive,12,4
110,5,974,Toute Surface,4,9
111,5,439,Offensive,8,9
112,5,818,Médiane,10,15
113,5,688,Offensive,7,12
114,5,807,Défensive,6,11
115,5,895,Défensive,7,9
116,5,678,Toute Surface,10,12
117,5,32,Médiane,9,15
118,5,881,Toute Surface,6,6
119,5,600,Offensive,7,9
120,5,285,Offensive,8,3
121,6,414,Défensive,0,0
122,6,617,Défensive,0,0
123,6,829,Défensive,0,0
124,6,666,Médiane,6,15
125,6,445,Toute Surface,8,11
126,6,101,Toute Surface,12,18
127,6,802,Offensive,9,15
128,6,757,Médiane,12,16
129,6,152,Défensive,11,17
130,6,270,Médiane,10,13
131,6,393,Défensive,7,10
132,6,124,Toute Surface,8,9
133,6,341,Défensive,11,6
134,6,974,Offensive,3,5
135,6,439,Médiane,5,13
136,6,818,Offensive,7,18
137,6,688,Médiane,7,15
138,6,807,Offensive,6,10
139,6,895,Offensive,11,10
140,6,678,Offensive,12,11
141,6,32,Offensive,10,20
142,6,881,Toute Surface,5,15
143,6,600,Médiane,9,17
144,6,285,Offensive,10,3
145,7,414,Défensive,0,0
146,7,617,Défensive,0,0
147,7,829,Défensive,0,0
148,7,666,Médiane,7,11
149,7,445,Offensive,10,17
150,7,101,Offensive,9,11
151,7,802,Offensive,8,11
152,7,757,Médiane,4,13
153,7,152,Offensive,10,14
154,7,270,Offensive,5,18
155,7,393,Offensive,5,9
156,7,124,Médiane,5,6
157,7,341,Médiane,10,6
158,7,974,Toute Surface,4,10
159,7,439,Défensive,7,14
160,7,818,Défensive,10,17
161,7,688,Toute Surface,6,12
162,7,807,Toute Surface,5,10
163,7,895,Toute Surface,10,9
164,7,678,Toute Surface,6,10
165,7,32,Toute Surface,7,16
166,7,881,Défensive,5,5
167,7,600,Offensive,5,13
168,7,285,Défensive,10,7
169,8,414,Défensive,0,0
170,8,617,Défensive,0,0
171,8,829,Défensive,0,0
172,8,666,Défensive,3,5
173,8,445,Médiane,7,18
174,8,101,Offensive,8,18
175,8,802,Toute Surface,9,14
176,8,757,Défensive,9,20
177,8,152,Défensive,11,13
178,8,270,Offensive,7,20
179,8,393,Offensive,8,14
180,8,124,Médiane,5,14
181,8,341,Défensive,9,5
182,8,974,Défensive,4,8
183,8,439,Médiane,8,20
184,8,818,Toute Surface,7,17
185,8,688,Médiane,8,8
186,8,807,Médiane,7,5
187,8,895,Toute Surface,8,16
188,8,678,Médiane,11,14
189,8,32,Offensive,9,22
190,8,881,Toute Surface,7,15
191,8,600,Médiane,5,20
192,8,285,Défensive,8,8
193,9,414,Défensive,0,0
194,9,617,Défensive,0,0
195,9,829,Défensive,0,0
196,9,666,Toute Surface,4,11
197,9,445,Défensive,5,19
198,9,101,Défensive,5,16
199,9,802,Médiane,6,12
200,9,757,Défensive,9,11
201,9,152,Défensive,12,14
202,9,270,Offensive,13,11
203,9,393,Défensive,5,17
204,9,124,Défensive,5,7
205,9,341,Offensive,14,4
206,9,974,Toute Surface,7,15
207,9,439,Défensive,13,18
208,9,818,Médiane,7,16
209,9,688,Médiane,8,14
210,9,807,Offensive,4,6
211,9,895,Médiane,5,13
212,9,678,Défensive,8,16
213,9,32,Défensive,8,17
214,9,881,Offensive,8,16
215,9,600,Défensive,6,15
216,9,285,Offensive,13,6
217,10,414,Défensive,0,0
218,10,617,Défensive,0,0
219,10,829,Défensive,0,0
220,10,666,Médiane,3,15
221,10,445,Offensive,7,19
222,10,101,Défensive,5,15
223,10,802,Médiane,11,17
224,10,757,Médiane,13,15
225,10,152,Médiane,7,16
226,10,270,Toute Surface,12,14
227,10,393,Offensive,12,15
228,10,124,Médiane,8,12
229,10,341,Médiane,9,11
230,10,974,Toute Surface,7,5
231,10,439,Toute Surface,12,18
232,10,818,Toute Surface,11,22
233,10,688,Toute Surface,6,13
234,10,807,Toute Surface,6,5
235,10,895,Défensive,5,19
236,10,678,Toute Surface,13,14
237,10,32,Toute Surface,5,15
238,10,881,Défensive,3,6
239,10,600,Médiane,11,15
240,10,285,Défensive,12,11
241,11,414,Défensive,0,0
242,11,617,Défensive,0,0
243,11,829,Défensive,0,0
244,11,666,Défensive,2,9
245,11,445,Toute Surface,9,13
246,11,101,Défensive,10,16
247,11,802,Défensive,5,14
248,11,757,Toute Surface,8,9
249,11,152,Toute Surface,4,18
250,11,270,Médiane,6,9
251,11,393,Défensive,4,15
252,11,124,Toute Surface,7,12
253,11,341,Offensive,12,9
254,11,974,Médiane,2,5
255,11,439,Toute Surface,8,14
256,11,818,Toute Surface,9,18
257,11,688,Toute Surface,2,12
258,11,807,Médiane,5,13
259,11,895,Défensive,7,10
260,11,678,Offensive,10,16
261,11,32,Toute Surface,7,16
262,11,881,Défensive,5,10
263,11,600,Toute Surface,4,15
264,11,285,Offensive,11,7
265,12,414,Défensive,0,0
266,12,617,Défensive,0,0
267,12,829,Défensive,0,0
268,12,666,Médiane,8,14
269,12,445,Médiane,8,13
270,12,101,Toute Surface,7,19
271,12,802,Défensive,5,16
272,12,757,Défensive,6,16
273,12,152,Offensive,8,13
274,12,270,Médiane,11,17
275,12,393,Défensive,8,14
276,12,124,Toute Surface,8,8
277,12,341,Médiane,11,4
278,12,974,Défensive,3,16
279,12,439,Offensive,11,15
280,12,818,Toute Surface,5,22
281,12,688,Défensive,8,6
282,12,807,Défensive,3,15
283,12,895,Défensive,9,19
284,12,678,Défensive,8,13
285,12,32,Défensive,12,13
286,12,881,Défensive,3,9
287,12,600,Offensive,11,16
288,12,285,Défensive,14,7
289,13,414,Défensive,0,0
290,13,617,Défensive,0,0
291,13,829,Défensive,0,0
292,13,666,Toute Surface,8,14
293,13,445,Offensive,6,14
294,13,101,Toute Surface,12,14
295,13,802,Défensive,12,13
296,13,757,Offensive,7,16
297,13,152,Toute Surface,6,14
298,13,270,Toute Surface,8,15
299,13,393,Défensive,9,14
300,13,124,Défensive,4,11
301,13,341,Médiane,11,9
302,13,974,Médiane,8,15
303,13,439,Défensive,9,18
