ID_Technique,ID_Match,ID_Joueur,Nombre_Passes,Précision_Passes,Réception_Réussie,Contrôle_Balle,Nombre_Tirs,Précision_Tirs,Duels_Aériens_Gagnés,Centres_Réussis,Dribbles_Réussis,Interceptions,Tacles_Réussis,Conversion_Occasions
1,1,414,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0
2,1,617,11,78.8,13,68.23,0,0.0,10,2,0,7,5,0.0
3,1,829,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0
4,1,666,27,74.23,15,84.76,3,15.28,7,2,3,12,8,33.33
5,1,445,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0
6,1,101,77,82.02,27,86.56,1,23.03,4,5,4,11,11,0.0
7,1,802,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0
8,1,757,73,87.47,13,81.71,2,33.41,7,9,7,10,9,0.0
9,1,152,55,85.47,24,84.04,4,30.66,6,11,9,8,4,0.0
10,1,270,69,76.82,15,78.55,2,56.58,5,9,10,9,5,0.0
11,1,393,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0
12,1,124,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0
13,1,341,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0
14,1,974,71,84.71,17,68.31,0,19.6,12,8,5,13,9,0.0
15,1,439,88,84.54,14,81.96,3,44.37,3,13,8,9,9,0.0
16,1,818,75,73.99,14,88.51,3,52.47,9,3,9,13,8,0.0
17,1,688,69,68.84,16,68.79,1,14.48,9,3,0,10,17,0.0
18,1,807,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0
19,1,895,78,77.01,25,81.28,3,37.02,7,13,5,7,9,0.0
20,1,678,52,74.89,13,77.84,4,49.46,5,10,5,9,13,0.0
21,1,32,45,81.91,21,78.7,3,35.13,5,7,9,9,11,0.0
22,1,881,34,81.25,22,81.95,1,35.7,12,1,5,10,12,0.0
23,1,600,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0
24,1,285,18,70.42,21,84.48,5,56.4,2,15,18,2,0,0.0
25,2,414,10,85.69,7,87.77,0,0.0,7,1,0,7,7,0.0
26,2,617,21,86.19,5,70.71,0,0.0,11,0,2,6,2,0.0
27,2,829,25,85.0,6,74.55,0,0.0,8,3,0,8,8,0.0
28,2,666,43,82.74,20,85.72,3,23.02,15,10,1,11,17,33.33
29,2,445,95,93.66,18,90.05,2,43.0,5,8,5,9,6,0.0
30,2,101,83,80.78,26,94.56,2,21.0,5,13,8,9,14,0.0
31,2,802,88,96.18,22,92.66,5,43.61,5,5,8,10,12,0.0
32,2,757,61,89.32,20,95.66,4,36.58,3,4,6,9,9,0.0
33,2,152,82,82.6,25,94.73,1,37.48,3,7,6,10,15,0.0
34,2,270,79,85.72,26,88.93,2,32.32,3,4,9,11,8,0.0
35,2,393,82,82.88,27,86.18,2,39.47,3,8,12,15,10,0.0
36,2,124,36,85.48,16,78.62,0,24.08,14,5,6,13,15,0.0
37,2,341,37,81.35,22,84.2,14,46.54,4,15,17,3,2,0.0
38,2,974,32,92.7,17,76.65,1,34.53,16,7,1,13,18,0.0
39,2,439,53,84.55,25,92.5,1,27.4,5,15,10,12,8,0.0
40,2,818,71,89.37,23,97.23,2,51.23,9,14,11,13,15,0.0
41,2,688,71,92.97,11,86.79,2,22.9,14,5,1,13,18,0.0
42,2,807,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0
43,2,895,98,93.5,20,99.35,3,58.84,8,12,6,8,9,0.0
44,2,678,77,80.49,20,85.54,2,38.09,6,6,6,15,5,0.0
45,2,32,99,80.44,18,96.15,5,47.3,9,9,6,11,5,0.0
46,2,881,52,93.38,25,81.07,3,23.83,8,6,1,10,17,0.0
47,2,600,66,83.11,23,90.07,1,40.33,5,11,12,15,14,0.0
48,2,285,33,82.72,25,86.63,5,66.88,6,5,11,1,2,0.0
49,3,414,23,99.14,6,83.51,0,0.0,5,4,0,8,5,0.0
50,3,617,28,100.53,8,89.87,0,0.0,5,4,0,8,7,0.0
51,3,829,26,97.28,16,92.6,0,0.0,16,5,1,8,5,0.0
52,3,666,79,94.19,26,88.63,1,24.2,17,11,6,16,15,0.0
53,3,445,97,93.16,26,97.03,3,52.86,5,6,13,13,12,0.0
54,3,101,107,100.65,28,102.72,1,57.12,3,3,12,8,13,0.0
55,3,802,79,90.81,29,108.6,2,28.53,6,8,9,11,9,0.0
56,3,757,73,93.98,29,103.4,5,29.68,7,13,7,13,16,0.0
57,3,152,95,93.37,18,95.11,2,39.73,9,6,8,14,16,0.0
58,3,270,91,95.26,16,102.81,5,51.27,7,15,7,8,14,0.0
59,3,393,58,105.4,28,97.58,3,48.11,8,16,13,15,11,0.0
60,3,124,36,94.74,18,86.16,2,37.87,11,6,5,22,8,0.0
61,3,341,31,90.98,24,95.64,15,64.03,4,7,7,5,2,6.67
62,3,974,88,92.23,25,95.12,3,15.76,16,9,6,22,19,0.0
63,3,439,71,97.93,17,102.59,4,55.0,6,7,7,13,15,0.0
64,3,818,107,95.43,29,105.03,3,47.74,5,14,5,8,7,0.0
65,3,688,68,86.94,11,91.57,3,29.71,22,7,3,13,17,0.0
66,3,807,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0
67,3,895,96,99.03,20,104.41,3,52.97,4,3,13,13,11,33.33
68,3,678,105,107.42,22,104.6,4,42.79,5,16,7,16,6,0.0
69,3,32,70,98.52,28,95.1,5,41.75,3,7,7,12,7,0.0
70,3,881,44,84.12,27,88.44,2,12.96,20,11,3,18,18,0.0
71,3,600,68,100.65,27,98.74,1,33.18,5,6,6,11,7,0.0
72,3,285,11,97.93,26,91.58,14,70.69,3,12,18,4,2,0.0
73,4,414,13,100.62,15,97.25,0,0.0,6,1,1,5,5,0.0
74,4,617,27,99.27,7,87.18,0,0.0,16,5,2,8,6,0.0
75,4,829,30,97.11,13,91.66,0,0.0,8,0,0,5,3,0.0
76,4,666,83,82.97,19,90.69,1,32.79,7,5,6,22,8,0.0
77,4,445,74,91.82,25,98.78,1,46.69,7,12,9,12,9,0.0
78,4,101,66,97.34,18,108.85,2,55.45,9,9,13,14,16,0.0
79,4,802,67,93.11,29,103.98,1,33.25,8,5,11,9,9,0.0
80,4,757,71,107.58,20,109.9,5,49.94,9,9,7,9,12,0.0
81,4,152,77,103.89,30,99.17,4,41.6,7,11,13,13,13,0.0
82,4,270,68,107.28,33,106.27,5,49.46,3,7,8,12,6,0.0
83,4,393,64,89.33,30,104.33,1,59.55,3,12,13,14,5,0.0
84,4,124,35,93.2,17,83.3,1,27.34,15,3,4,11,13,0.0
85,4,341,35,82.26,17,108.81,6,41.84,8,9,17,1,2,0.0
86,4,974,61,96.69,17,99.45,2,25.12,17,4,1,18,22,0.0
87,4,439,105,90.07,27,104.81,1,52.23,4,9,8,16,13,100.0
88,4,818,58,94.54,31,95.52,3,21.09,3,13,5,15,15,0.0
89,4,688,50,88.3,14,103.23,3,20.24,18,5,5,12,16,0.0
90,4,807,68,94.63,14,86.9,0,28.56,5,3,1,11,19,0.0
91,4,895,100,103.49,27,102.32,4,54.52,5,15,12,13,7,0.0
92,4,678,92,91.98,19,95.84,4,56.82,4,9,8,15,15,0.0
93,4,32,69,89.84,33,96.68,1,33.45,11,14,12,13,12,0.0
94,4,881,71,100.88,25,83.37,1,12.67,11,4,3,20,19,0.0
95,4,600,60,103.41,16,102.45,1,42.89,7,14,5,11,9,0.0
96,4,285,44,97.42,11,93.29,12,74.76,5,13,15,3,2,8.33
97,5,414,9,76.58,6,74.63,0,0.0,7,4,0,13,1,0.0
98,5,617,17,89.45,9,77.06,0,0.0,8,3,1,10,1,0.0
99,5,829,25,83.72,8,74.33,0,0.0,9,4,0,12,4,0.0
100,5,666,48,68.27,14,81.88,3,16.81,10,4,3,9,7,33.33
101,5,445,80,73.48,24,89.59,1,34.82,7,13,10,9,9,0.0
102,5,101,88,85.45,13,85.62,1,38.53,4,3,4,7,9,0.0
103,5,802,90,74.79,25,79.58,4,59.02,4,12,9,7,9,0.0
104,5,757,80,72.91,18,89.77,5,37.29,7,13,10,12,7,0.0
105,5,152,74,85.07,26,79.52,1,48.72,4,4,9,9,13,100.0
106,5,270,71,83.7,25,76.52,3,51.5,7,10,10,9,7,0.0
107,5,393,67,82.45,26,85.79,3,44.38,8,2,5,13,9,33.33
108,5,124,67,80.95,9,81.58,3,33.74,18,9,2,9,13,0.0
109,5,341,11,76.52,14,78.54,6,51.63,7,14,12,4,2,0.0
110,5,974,39,75.1,13,84.04,2,27.08,11,2,3,15,16,0.0
111,5,439,45,84.83,18,80.47,1,51.43,7,5,7,8,11,0.0
112,5,818,50,74.95,25,84.29,1,22.73,9,11,10,8,11,0.0
113,5,688,66,84.79,17,74.83,2,24.06,11,3,5,12,12,0.0
114,5,807,50,70.7,22,70.8,0,32.18,8,4,3,14,13,0.0
115,5,895,82,83.09,26,81.49,5,21.41,7,2,9,8,12,0.0
116,5,678,60,72.37,23,77.52,4,20.44,9,6,7,10,7,0.0
117,5,32,88,72.69,18,86.62,1,55.75,5,9,6,10,9,0.0
118,5,881,41,69.15,19,81.19,2,31.65,7,6,0,13,18,0.0
119,5,600,55,76.42,16,82.63,2,46.34,9,9,10,11,4,0.0
120,5,285,15,77.53,22,77.24,14,42.98,2,5,11,0,1,0.0
121,6,414,27,91.77,5,71.66,0,0.0,13,0,1,7,3,0.0
122,6,617,23,95.13,9,73.54,0,0.0,11,4,1,15,5,0.0
123,6,829,15,91.48,13,75.53,0,0.0,14,1,0,5,6,0.0
124,6,666,74,91.98,10,90.68,0,20.91,10,3,5,11,14,0.0
125,6,445,71,91.63,24,91.29,4,51.14,6,11,9,12,10,0.0
