ID_Entrainement,ID_Joueur,Date_Entrainement,Durée,Intensité,Distance_Parcourue,Sprint_Max,Type_Exercice,Catégorie,Saison
1,895,2022-07-22,103,Moyenne,5.74,26.29,Sprint,Cadet A,2022-2023
2,600,2022-07-22,106,Moyenne,5.16,26.79,Match d’entraînement,Cadet A,2022-2023
3,974,2022-07-22,88,Faible,4.03,21.74,Technique,Cadet A,2022-2023
4,439,2022-07-22,100,Élevée,9.74,30.22,Technique,Cadet A,2022-2023
5,152,2022-07-22,114,Moyenne,6.87,28.02,Endurance,Cadet A,2022-2023
6,101,2022-07-22,112,Faible,3.72,25.54,Endurance,Cadet A,2022-2023
7,818,2022-07-22,79,Faible,4.41,20.01,Sprint,Cadet A,2022-2023
8,829,2022-07-22,110,Moyenne,7.05,26.9,Technique,Cadet A,2022-2023
9,393,2022-07-22,92,Élevée,9.84,31.9,Sprint,Cadet A,2022-2023
10,617,2022-07-22,74,Élevée,8.46,32.01,Technique,Cadet A,2022-2023
11,341,2022-07-22,75,Élevée,7.69,32.82,Sprint,Cadet A,2022-2023
12,678,2022-07-22,96,Faible,4.73,23.49,Technique,Cadet A,2022-2023
13,285,2022-07-22,77,Moyenne,7.07,29.6,Technique,Cadet A,2022-2023
14,802,2022-07-22,99,Moyenne,7.19,28.59,Sprint,Cadet A,2022-2023
15,270,2022-07-22,105,Faible,3.64,21.08,Sprint,Cadet A,2022-2023
16,124,2022-07-22,118,Élevée,7.54,30.99,Technique,Cadet A,2022-2023
17,32,2022-07-22,114,Moyenne,6.63,29.41,Technique,Cadet A,2022-2023
18,445,2022-07-22,60,Élevée,8.04,32.55,Sprint,Cadet A,2022-2023
19,881,2022-07-22,98,Moyenne,6.66,29.39,Technique,Cadet A,2022-2023
20,688,2022-07-22,67,Élevée,8.94,30.67,Sprint,Cadet A,2022-2023
21,833,2022-07-22,109,Moyenne,5.07,29.39,Technique,Cadet B,2022-2023
22,582,2022-07-22,67,Élevée,9.18,32.73,Technique,Cadet B,2022-2023
