ID_Match_Unique,ID_Match,ID_Joueur,Saison,Date_Match,Catégorie,Compétition,Titulaire,Temps_Jeu,Carton_Jaune,Carton_Rouge,Fautes_Commisses,Buts,Score,Résultat
1,1,414,2022-2023,2022-08-21,Cadet A,Ligue,False,0,0,0,0,0,1-5,Défaite
2,1,617,2022-2023,2022-08-21,Cadet A,Ligue,True,90,0,0,0,0,1-5,Défaite
3,1,829,2022-2023,2022-08-21,Cadet A,Ligue,False,0,0,0,0,0,1-5,Défaite
4,1,666,2022-2023,2022-08-21,Cadet A,Ligue,True,90,1,0,2,1,1-5,Défaite
5,1,445,2022-2023,2022-08-21,Cadet A,Ligue,False,0,0,0,0,0,1-5,Défaite
6,1,101,2022-2023,2022-08-21,Cadet A,Ligue,True,90,1,0,4,0,1-5,Défaite
7,1,802,2022-2023,2022-08-21,Cadet A,Ligue,False,0,0,0,0,0,1-5,Défaite
8,1,757,2022-2023,2022-08-21,Cadet A,Ligue,True,59,0,0,1,0,1-5,Défaite
9,1,152,2022-2023,2022-08-21,Cadet A,Ligue,True,58,1,0,4,0,1-5,Défaite
10,1,270,2022-2023,2022-08-21,Cadet A,Ligue,True,51,1,0,4,0,1-5,Défaite
11,1,393,2022-2023,2022-08-21,Cadet A,Ligue,False,0,0,0,0,0,1-5,Défaite
12,1,124,2022-2023,2022-08-21,Cadet A,Ligue,False,0,0,0,0,0,1-5,Défaite
13,1,341,2022-2023,2022-08-21,Cadet A,Ligue,False,0,0,0,0,0,1-5,Défaite
14,1,974,2022-2023,2022-08-21,Cadet A,Ligue,False,32,1,0,2,0,1-5,Défaite
15,1,439,2022-2023,2022-08-21,Cadet A,Ligue,False,31,0,0,0,0,1-5,Défaite
16,1,818,2022-2023,2022-08-21,Cadet A,Ligue,True,47,1,0,5,0,1-5,Défaite
17,1,688,2022-2023,2022-08-21,Cadet A,Ligue,False,39,1,0,5,0,1-5,Défaite
18,1,807,2022-2023,2022-08-21,Cadet A,Ligue,True,0,0,0,0,0,1-5,Défaite
19,1,895,2022-2023,2022-08-21,Cadet A,Ligue,False,15,1,0,4,0,1-5,Défaite
20,1,678,2022-2023,2022-08-21,Cadet A,Ligue,True,75,1,0,5,0,1-5,Défaite
21,1,32,2022-2023,2022-08-21,Cadet A,Ligue,False,43,1,0,4,0,1-5,Défaite
22,1,881,2022-2023,2022-08-21,Cadet A,Ligue,True,90,1,1,5,0,1-5,Défaite
23,1,600,2022-2023,2022-08-21,Cadet A,Ligue,False,0,0,0,0,0,1-5,Défaite
24,1,285,2022-2023,2022-08-21,Cadet A,Ligue,True,90,0,0,0,0,1-5,Défaite
25,2,414,2022-2023,2022-08-28,Cadet A,Ligue,False,43,0,0,0,0,1-1,Nul
26,2,617,2022-2023,2022-08-28,Cadet A,Ligue,False,90,0,0,0,0,1-1,Nul
27,2,829,2022-2023,2022-08-28,Cadet A,Ligue,True,90,0,0,0,0,1-1,Nul
28,2,666,2022-2023,2022-08-28,Cadet A,Ligue,True,90,0,0,0,1,1-1,Nul
29,2,445,2022-2023,2022-08-28,Cadet A,Ligue,False,31,1,0,5,0,1-1,Nul
30,2,101,2022-2023,2022-08-28,Cadet A,Ligue,True,47,1,0,4,0,1-1,Nul
31,2,802,2022-2023,2022-08-28,Cadet A,Ligue,True,90,0,0,0,0,1-1,Nul
32,2,757,2022-2023,2022-08-28,Cadet A,Ligue,False,59,1,0,3,0,1-1,Nul
33,2,152,2022-2023,2022-08-28,Cadet A,Ligue,False,58,1,0,5,0,1-1,Nul
34,2,270,2022-2023,2022-08-28,Cadet A,Ligue,False,51,0,0,1,0,1-1,Nul
35,2,393,2022-2023,2022-08-28,Cadet A,Ligue,True,59,0,0,0,0,1-1,Nul
36,2,124,2022-2023,2022-08-28,Cadet A,Ligue,True,52,1,1,2,0,1-1,Nul
37,2,341,2022-2023,2022-08-28,Cadet A,Ligue,True,90,0,0,0,0,1-1,Nul
38,2,974,2022-2023,2022-08-28,Cadet A,Ligue,True,90,1,0,2,0,1-1,Nul
39,2,439,2022-2023,2022-08-28,Cadet A,Ligue,False,45,0,0,1,0,1-1,Nul
40,2,818,2022-2023,2022-08-28,Cadet A,Ligue,True,45,0,1,1,0,1-1,Nul
41,2,688,2022-2023,2022-08-28,Cadet A,Ligue,False,39,1,0,4,0,1-1,Nul
42,2,807,2022-2023,2022-08-28,Cadet A,Ligue,False,0,0,0,0,0,1-1,Nul
43,2,895,2022-2023,2022-08-28,Cadet A,Ligue,False,15,1,0,2,0,1-1,Nul
44,2,678,2022-2023,2022-08-28,Cadet A,Ligue,False,21,1,0,4,0,1-1,Nul
45,2,32,2022-2023,2022-08-28,Cadet A,Ligue,False,43,1,0,5,0,1-1,Nul
46,2,881,2022-2023,2022-08-28,Cadet A,Ligue,False,38,1,0,3,0,1-1,Nul
47,2,600,2022-2023,2022-08-28,Cadet A,Ligue,True,69,0,0,0,0,1-1,Nul
48,2,285,2022-2023,2022-08-28,Cadet A,Ligue,True,90,0,0,0,0,1-1,Nul
49,3,414,2022-2023,2022-09-24,Cadet A,Ligue,False,43,0,0,0,0,2-1,Victoire
50,3,617,2022-2023,2022-09-24,Cadet A,Ligue,True,90,0,0,0,0,2-1,Victoire
51,3,829,2022-2023,2022-09-24,Cadet A,Ligue,False,43,0,0,0,0,2-1,Victoire
