ID_Objectif,ID_Joueur,Saison,Objectif_Type,Valeur_Cible,Unite
1,944,2022-2023,Précision_Passes,71.42,%
2,944,2022-2023,Minutes_Totales,1527.0,minutes
3,866,2022-2023,Précision_Passes,71.42,%
4,866,2022-2023,Minutes_Totales,1527.0,minutes
5,237,2022-2023,Précision_Passes,71.42,%
6,237,2022-2023,Minutes_Totales,1527.0,minutes
7,728,2022-2023,Précision_Passes,71.42,%
8,728,2022-2023,Minutes_Totales,1527.0,minutes
9,406,2022-2023,Précision_Passes,71.42,%
10,406,2022-2023,Minutes_Totales,1527.0,minutes
11,731,2022-2023,Précision_Passes,71.42,%
12,731,2022-2023,Minutes_Totales,1527.0,minutes
13,380,2022-2023,Distance_Parcourue_Match,10.19,km
14,380,2022-2023,Précision_Passes,89.31,%
15,380,2022-2023,Tirs_Cadrés,42.51,%
16,414,2022-2023,Précision_Passes,71.42,%
17,414,2022-2023,Minutes_Totales,1527.0,minutes
18,976,2022-2023,Distance_Parcourue_Match,9.83,km
19,976,2022-2023,Vitesse_Max,32.4,km/h
20,976,2022-2023,Conversion_Tirs_Buts,33.07,%
21,590,2022-2023,Distance_Parcourue_Match,8.75,km
22,590,2022-2023,Précision_Passes,80.68,%
23,590,2022-2023,Tacles_Réussis,61.98,%
24,715,2022-2023,Distance_Parcourue_Match,8.75,km
25,715,2022-2023,Précision_Passes,80.68,%
26,715,2022-2023,Tacles_Réussis,61.98,%
27,342,2022-2023,Distance_Parcourue_Match,8.75,km
28,342,2022-2023,Précision_Passes,80.68,%
29,342,2022-2023,Tacles_Réussis,61.98,%
30,258,2022-2023,Distance_Parcourue_Match,10.19,km
31,258,2022-2023,Précision_Passes,89.31,%
32,258,2022-2023,Tirs_Cadrés,42.51,%
33,18,2022-2023,Distance_Parcourue_Match,9.83,km
34,18,2022-2023,Vitesse_Max,32.4,km/h
35,18,2022-2023,Conversion_Tirs_Buts,33.07,%
36,943,2022-2023,Distance_Parcourue_Match,9.83,km
